"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
1,0.547353504185707,39687608.9391492,1072636982744646,-0.123554324892902,0.682589894698037,-2.42498175036017,0.0234085401962092
2,0.409342347534508,147446260.633062,62017412527212.9,1.1875005785574,-0.676616987068982,3.28520701493011,0.877048879976994
3,0.380536643844662,254607679.758902,1384736518563.9,1.11560163673362,-1.21212508600993,3.12722606812179,0.4896628199587
4,0.413872342406002,7347798904.96839,639876585038.475,-0.419290456732202,-1.88363885838877,-4.17644766814114,-0.448678646171453
5,0.383752573652246,31825960.2379506,76187022181210.4,-0.792967276362009,-2.36683090014545,-4.48586778217693,-0.812077940109084
6,0.518512655774198,30652242712.995,2360070030872.69,-0.0687269218521833,0.700509169446134,-0.837904667524812,0.170538092960744
7,0.413503722917906,62466690.5109672,11484021705974,-0.577950779815922,-1.64296697418646,-3.1388666480101,-0.334020533680854
8,0.369521753226176,8783608112.16933,17903120694472.5,-1.11109965647182,-2.79940331457321,-5.16749814707979,-0.71978209943786
9,0.35762267941329,15415528.1032192,1518912207121.61,-1.08908123921861,-3.0992381155515,-5.74807619460445,-0.689519858653233
10,0.358479517764162,2008673.16193471,2711988613089.25,-1.02352876598494,-3.08553604147867,-5.031563256402,-0.815285960226028
11,0.411659017867366,10270509.7706335,2054277983528.73,-0.574719950601916,-1.96048899593327,-4.25309348538267,-0.446553630353167
12,0.384667048244752,323207715.837543,2742418942547.2,-0.531284472400849,-2.09974981770543,-2.89535395378302,-0.544192515163893
13,0.359103973494321,13673753.0165834,380485333220.628,-0.843305303969948,-3.14190789025534,-5.68901049620455,-0.835561430970824
14,0.365264556314542,749438473.83441,19223458562728.8,-0.408529737240744,-2.51749511243281,-2.68890357369253,-0.553728211622369
15,0.387860951652223,15572514.6333773,1356065314833.31,-0.146837002491231,-2.06315592122448,-3.2643587487631,-0.387512789718797
16,0.368641987636348,1362414.58836813,1913825602862.28,-1.03972412710717,-2.87631366664422,-5.94148572919301,-0.818440191456761
17,0.362921725005992,1487971.48252522,62596101582129.4,-1.10280103476315,-3.03984230995574,-5.88418009248882,-0.821311499084604
18,0.420162380691474,697163236.938774,23239949479010.1,-0.318712378069716,-1.67270188854955,-4.23024651818337,-0.532297968556252
19,0.361151095126221,38424812.9537159,1046693537397442,-1.25770761136449,-3.13655756912663,-5.69867354129982,-0.674344251713283
20,0.376584744868879,1346047.2238375,24232494543.4739,-0.86905359496596,-2.83436736652218,-5.66085674977841,-0.983308155194429
21,0.379871271931543,3466829.40875077,5009306864988.99,-0.812471257310802,-2.44245495231255,-4.85001473970978,-0.499204887856662
22,0.378452564700621,13592468.4093552,207648352141.552,-0.957699508837245,-2.71929539935686,-5.68895528777208,-0.800921136977023
23,0.400622244511223,41364716.5217432,3537316694255.62,-0.540763001154432,-2.23417147645554,-5.22159462544301,-0.782330393409599
24,0.380357482583338,5876095.10738168,497315653029.15,-0.653732699970897,-2.49139077989454,-4.5100178481662,-0.389007496531131
25,0.451252447999501,365585409.323073,916736863722.147,-0.693087167342817,-1.01657428835095,-3.5905492294539,-0.604269695320813
26,0.332309406364355,279531033.688031,545713485725.016,1.00615883834724,-2.16016582998039,3.10204562678312,0.711012567977944
27,0.367383332617815,25327269.3858826,302443650737099,-1.03549454959046,-2.8819926145441,-5.44740165390342,-0.739639736052446
28,0.378362909298987,33283817.9469368,939135503416927,0.12083483445402,-1.75046278495655,-0.486057352128605,0.163937382283704
29,0.460297040612881,61828538254.6835,578761630210.776,0.951542050532921,0.0211602011021518,1.82676423669685,0.553016782886713
30,0.45417918622516,280111986.245741,21240962989079.1,0.951338691872225,0.168137774589204,3.45406954610031,0.748414206115962
31,0.554906817159709,8049770.57391988,916925286953.159,0.404825316733743,1.20009562323693,-1.02336529621735,0.355879316009062
