"subj","waic","n_trials","logit_alpha_mean","logit_alpha_sd","log_beta_mean","log_beta_sd","log_gamma_mean","log_gamma_sd","tau_mean","tau_sd","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd"
1,21.7390154809046,16,0.682589894698037,10.0201341967512,-2.42498175036017,7.16448228437521,0.0234085401962091,10.2144380651182,-0.123554324892902,10.0102873524414,0.547353504185707,0.458538541847027,39687608.9391492,2048224339.68719,1072636982744646,87148879710120176
2,20.9429423540679,20,-0.676616987068982,8.41969741833943,3.28520701493011,6.10282513095179,0.877048879976994,9.80040084208224,1.1875005785574,9.52506055306907,0.409342347534508,0.439745003182201,147446260.633062,9222127145.9171,62017412527212.9,4678163465612720
3,22.0916205016657,20,-1.21212508600993,8.24955809314844,3.12722606812179,6.64938930457249,0.4896628199587,9.83989646288528,1.11560163673362,9.4983717722074,0.380536643844662,0.43431160384206,254607679.758902,9490994296.69907,1384736518563.9,85446123375651.9
4,22.2259734326412,16,-1.88363885838877,10.1397288563047,-4.17644766814114,7.99510825057356,-0.448678646171453,10.0353964802665,-0.419290456732202,9.97000602342802,0.413872342406002,0.454321663623159,7347798904.96839,421118533621.297,639876585038.475,35122327851107.4
5,27.8428043911982,20,-2.36683090014545,10.111631707173,-4.48586778217693,8.24976137122702,-0.812077940109084,10.0688521655116,-0.792967276362009,10.0882263199493,0.383752573652246,0.448262220191836,31825960.2379506,1507037980.92147,76187022181210.4,8052417570911197
6,26.1068333954558,20,0.700509169446134,9.51415278271223,-0.837904667524812,7.48034037661088,0.170538092960744,10.0157095545439,-0.0687269218521833,9.84656250629356,0.518512655774198,0.457003048326783,30652242712.995,2393254955652.77,2360070030872.69,199422688339921
7,27.573910814106,20,-1.64296697418646,9.92185345342429,-3.1388666480101,8.15854328373584,-0.334020533680854,10.1429673671362,-0.577950779815922,9.98348240287546,0.413503722917906,0.45238018544238,62466690.5109672,3141144605.56312,11484021705974,1034392680890135
8,23.6712091889694,17,-2.79940331457321,10.2810786267078,-5.16749814707979,8.18671033004928,-0.71978209943786,10.5177044535972,-1.11109965647182,10.2416443912962,0.369521753226176,0.44700461587008,8783608112.16933,859579365686.096,17903120694472.5,1589869387421713
9,25.0680829293544,18,-3.0992381155515,10.1022072380253,-5.74807619460445,8.01059498093043,-0.689519858653233,10.1457644891582,-1.08908123921861,10.2619974829484,0.35762267941329,0.444456584259033,15415528.1032192,1441993668.24104,1518912207121.61,79778797678834.1
10,26.4595626932044,19,-3.08553604147867,10.2653207351081,-5.031563256402,8.12977879127818,-0.815285960226028,10.1229427162252,-1.02352876598494,10.3499195842379,0.358479517764162,0.444184245772572,2008673.16193471,92281087.0455783,2711988613089.25,121841723975208
11,27.7505010305453,20,-1.96048899593327,10.2001895685625,-4.25309348538267,8.09166251714407,-0.446553630353167,9.92146627290431,-0.574719950601916,10.1547732353516,0.411659017867366,0.454898842842768,10270509.7706335,905444025.217221,2054277983528.73,205092331612380
12,26.5913149604291,19,-2.09974981770543,9.6935295838066,-2.89535395378302,8.35009875464541,-0.544192515163893,9.97814528887455,-0.531284472400849,10.2096324505906,0.384667048244752,0.444077416995306,323207715.837543,24292248673.1264,2742418942547.2,253725957800094
13,27.8441843030802,20,-3.14190789025534,10.0928556004547,-5.68901049620455,8.07235933416833,-0.835561430970824,9.92519969965186,-0.843305303969948,10.0568663356724,0.359103973494321,0.443546485323091,13673753.0165834,606334528.008815,380485333220.628,25335551790670.7
14,26.4887077949975,19,-2.51749511243281,9.61594471405037,-2.68890357369253,8.54156092713119,-0.553728211622369,9.89664310757601,-0.408529737240743,9.91297360639949,0.365264556314542,0.440916975278062,749438473.83441,47894644330.1817,19223458562728.8,2051258637745479
15,27.6434930830495,20,-2.06315592122448,9.86581950559449,-3.2643587487631,8.23140699948731,-0.387512789718797,10.0112948711839,-0.146837002491231,10.1412459162188,0.387860951652223,0.44708452039271,15572514.6333773,731135336.955503,1356065314833.31,122916988212790
16,27.8478542143091,20,-2.87631366664422,10.2725713803792,-5.94148572919301,8.06920821348149,-0.818440191456761,10.0011482102827,-1.03972412710717,10.2354175631525,0.368641987636348,0.44663557835171,1362414.58836813,50049248.6075829,1913825602862.28,120714359405816
17,26.4606010045201,19,-3.03984230995574,9.96218248738388,-5.88418009248882,7.92834217117658,-0.821311499084604,10.0334465548742,-1.10280103476315,10.1753757348217,0.362921725005992,0.444809231803178,1487971.48252522,104978608.479399,62596101582129.4,6526668811318232
18,27.7477302106964,20,-1.67270188854955,10.2707419266865,-4.23024651818337,8.01749930115159,-0.532297968556252,10.2033257030428,-0.318712378069716,10.1925467979132,0.420162380691474,0.455185045730041,697163236.938774,63501948396.8636,23239949479010.1,2265383223666925
19,27.8377205858252,20,-3.13655756912663,10.2942553187638,-5.69867354129982,8.22770615576748,-0.674344251713283,10.0959362325919,-1.25770761136449,10.3516539291269,0.361151095126221,0.443913037294224,38424812.9537159,2886202532.83812,1046693537397442,114595897633869536
