"subj","waic","n_trials"
1,NA,20
2,NA,19
3,NA,20
4,NA,17
5,NA,17
6,NA,20
7,NA,20
8,NA,20
9,NA,20
10,NA,19
11,NA,17
12,NA,20
13,NA,20
14,NA,15
15,NA,19
16,NA,20
17,NA,20
18,NA,18
19,NA,20
20,NA,20
21,NA,19
22,NA,20
23,NA,20
24,NA,20
25,NA,17
26,NA,18
27,NA,20
28,NA,20
29,NA,20
30,NA,20
31,NA,20
32,NA,20
33,NA,20
34,NA,20
35,NA,16
36,NA,20
37,NA,20
38,NA,17
39,NA,20
40,NA,20
41,NA,19
42,NA,18
43,NA,20
44,NA,20
45,NA,17
46,NA,20
47,NA,20
48,NA,20
49,NA,20
50,NA,20
51,NA,20
52,NA,20
53,NA,20
54,NA,19
55,NA,19
56,NA,20
57,NA,17
58,NA,18
59,NA,20
60,NA,20
61,NA,20
62,NA,20
63,NA,20
64,NA,18
65,NA,19
66,NA,17
67,NA,18
68,NA,19
69,NA,19
70,NA,17
71,NA,20
72,NA,20
73,NA,20
74,NA,20
75,NA,18
76,NA,18
77,NA,18
78,NA,20
79,NA,20
80,NA,17
81,NA,20
82,NA,19
83,NA,19
84,NA,20
85,NA,19
86,NA,20
87,NA,20
88,NA,17
89,NA,19
90,NA,17
91,NA,20
92,NA,19
93,NA,20
94,NA,19
95,NA,15
96,NA,19
97,NA,20
98,NA,19
99,NA,17
100,NA,20
101,NA,19
102,NA,20
103,NA,19
104,NA,20
105,NA,20
106,NA,20
107,NA,20
108,NA,19
109,NA,18
110,NA,17
111,NA,20
112,NA,20
113,NA,19
114,NA,20
115,NA,20
116,NA,18
117,NA,17
118,NA,20
119,NA,18
120,NA,20
121,NA,20
122,NA,20
123,NA,18
124,NA,15
125,NA,19
126,NA,16
127,NA,20
128,NA,20
129,NA,20
130,NA,20
131,NA,20
132,NA,18
133,NA,20
134,NA,20
135,NA,20
136,NA,19
137,NA,20
138,NA,19
139,NA,20
140,NA,20
141,NA,20
142,NA,20
143,NA,19
144,NA,20
145,NA,20
146,NA,20
147,NA,20
148,NA,16
149,NA,20
150,NA,15
151,NA,20
152,NA,19
153,NA,18
154,NA,20
155,NA,20
156,NA,18
157,NA,20
158,NA,20
159,NA,18
160,NA,20
161,NA,20
162,NA,20
163,NA,17
164,NA,20
165,NA,16
166,NA,18
167,NA,20
168,NA,20
169,NA,20
170,NA,20
171,NA,19
172,NA,20
173,NA,19
174,NA,19
175,NA,20
176,NA,18
177,NA,20
178,NA,18
179,NA,20
180,NA,19
181,NA,20
182,NA,20
183,NA,18
184,NA,20
185,NA,19
186,NA,19
187,NA,20
188,NA,19
189,NA,15
190,NA,20
191,NA,20
192,NA,19
193,NA,20
194,NA,20
195,NA,20
196,NA,20
197,NA,19
198,NA,17
199,NA,20
200,NA,20
201,NA,20
202,NA,19
203,NA,20
204,NA,20
205,NA,20
206,NA,19
207,NA,16
208,NA,20
209,NA,20
210,NA,15
211,NA,20
212,NA,20
213,NA,20
214,NA,20
215,NA,18
216,NA,19
217,NA,20
218,NA,20
219,NA,17
220,NA,20
221,NA,19
222,NA,20
223,NA,20
224,NA,20
225,NA,19
226,NA,17
227,NA,18
228,NA,20
229,NA,16
230,NA,18
231,NA,20
232,NA,20
233,NA,19
234,NA,18
235,NA,19
236,NA,18
237,NA,20
238,NA,20
239,NA,20
240,NA,20
241,NA,20
242,NA,20
243,NA,19
244,NA,18
245,NA,18
246,NA,19
247,NA,20
248,NA,20
249,NA,20
250,NA,20
251,NA,20
252,NA,19
253,NA,20
254,NA,18
255,NA,20
256,NA,19
257,NA,20
258,NA,16
259,NA,11
260,NA,15
261,NA,15
262,NA,11
263,NA,15
264,NA,15
265,NA,15
266,NA,12
267,NA,13
268,NA,14
269,NA,15
270,NA,14
271,NA,15
272,NA,14
273,NA,15
274,NA,15
275,NA,14
276,NA,15
277,NA,15
278,NA,15
279,NA,15
280,NA,15
281,NA,14
282,NA,15
283,NA,10
284,NA,15
285,NA,11
286,NA,15
287,NA,10
288,NA,15
289,NA,13
290,NA,14
