subj,trial,choice,a_amount,a_prob,b_amount,b_prob
1,0,1.0,7.0,75.0,15.5,30.0
1,1,0.0,6.5,50.0,3.0,95.0
1,2,0.0,15.0,77.0,13.75,85.0
1,3,1.0,4.0,80.0,20.0,20.0
1,4,1.0,13.0,70.0,8.0,84.0
1,5,1.0,15.0,60.0,8.0,65.0
1,6,0.0,12.0,20.0,6.0,60.0
1,7,1.0,16.0,90.0,18.0,80.0
1,8,1.0,4.0,97.0,16.0,33.0
1,9,1.0,15.0,40.0,17.5,34.0
1,10,1.0,5.25,50.0,2.0,90.0
1,11,1.0,2.0,80.0,9.0,20.0
1,12,0.0,11.0,30.0,5.0,65.0
1,13,1.0,8.5,40.0,2.5,95.0
1,14,0.0,10.25,68.0,9.5,80.0
1,15,0.0,20.0,50.0,17.0,60.0
1,16,1.0,8.0,65.0,15.0,60.0
1,17,0.0,18.5,45.0,9.0,90.0
1,18,1.0,20.0,30.0,12.5,48.0
1,19,1.0,10.0,10.0,3.0,65.0
2,0,1.0,4.0,97.0,16.0,33.0
2,1,1.0,13.0,70.0,8.0,84.0
2,2,1.0,20.0,30.0,12.5,48.0
2,3,1.0,10.0,10.0,3.0,65.0
2,4,0.0,12.0,20.0,6.0,60.0
2,5,0.0,16.0,90.0,18.0,80.0
2,6,1.0,15.0,60.0,8.0,65.0
2,7,1.0,15.0,40.0,17.5,34.0
2,8,1.0,5.25,50.0,2.0,90.0
2,9,0.0,8.5,40.0,2.5,95.0
2,10,1.0,4.0,80.0,20.0,20.0
2,11,1.0,18.5,45.0,9.0,90.0
2,12,0.0,6.5,50.0,3.0,95.0
2,13,1.0,20.0,50.0,17.0,60.0
2,14,1.0,11.0,30.0,5.0,65.0
2,15,0.0,8.0,65.0,15.0,60.0
2,16,1.0,7.0,75.0,15.5,30.0
2,17,0.0,10.25,68.0,9.5,80.0
2,18,1.0,2.0,80.0,9.0,20.0
3,0,0.0,12.0,20.0,6.0,60.0
3,1,1.0,7.0,75.0,15.5,30.0
3,2,1.0,13.0,70.0,8.0,84.0
3,3,1.0,4.0,97.0,16.0,33.0
3,4,1.0,2.0,80.0,9.0,20.0
3,5,0.0,5.25,50.0,2.0,90.0
3,6,1.0,16.0,90.0,18.0,80.0
3,7,1.0,4.0,80.0,20.0,20.0
3,8,1.0,20.0,30.0,12.5,48.0
3,9,0.0,6.5,50.0,3.0,95.0
3,10,0.0,20.0,50.0,17.0,60.0
3,11,0.0,10.0,10.0,3.0,65.0
3,12,0.0,8.0,65.0,15.0,60.0
3,13,0.0,18.5,45.0,9.0,90.0
3,14,0.0,8.5,40.0,2.5,95.0
3,15,0.0,15.0,77.0,13.75,85.0
3,16,1.0,15.0,40.0,17.5,34.0
3,17,0.0,15.0,60.0,8.0,65.0
3,18,0.0,11.0,30.0,5.0,65.0
3,19,0.0,10.25,68.0,9.5,80.0
4,0,1.0,13.0,70.0,8.0,84.0
4,1,1.0,20.0,30.0,12.5,48.0
4,2,0.0,8.0,65.0,15.0,60.0
4,3,1.0,15.0,60.0,8.0,65.0
4,4,1.0,15.0,77.0,13.75,85.0
